X,Y,PID/UUID,URL,Dateiname,Titel,Urheber,Entstehung,Koordninat,X-Koordina,Y-Koordina,Adresse,PLZ/Ort,Inhalt,Format,Ereignis,Verwertung,Unternehme,longitude,latitude
8.720257213081913,47.347344545819617,26ae67e2fc964a6788334ea0a3a3822f,https://mobile.cmistar.ch/webclients/stadtarchivuster/#/content/26ae67e2fc964a6788334ea0a3a3822f/image,1885_1892_01_002.jpg,1885_1892_01_002,"Gujer, Julius",1885-1892,"696841,244845",696841,244845,Florastrasse 18,8610 Uster,Im Garten der Villa Grunholzer. Im Hintergrund das Waschhaus. Knecht führt zwei Pferde vor.,jpeg,,https://creativecommons.org/publicdomain/zero/1.0/deed.de,"Stadtarchiv Uster, (ISIL: CH-000629-9)",8.720257,47.347345
8.716780021327301,47.345844864523492,703db1ef8d594d139bb79a80201ad329,https://mobile.cmistar.ch/webclients/stadtarchivuster/#/content/703db1ef8d594d139bb79a80201ad329/image,1885_1892_01_003.jpg,1885_1892_01_003,"Gujer, Julius",1885-1892,"696581,244674",696581,244674,ref. Kirche Uster,8610 Uster,Vermutlich von der Fabrik an Florastrasse 18a aus aufgenommen über die Brauereistrasse hinweg zur ref. Kirche.,jpeg,,https://creativecommons.org/publicdomain/zero/1.0/deed.de,"Stadtarchiv Uster, (ISIL: CH-000629-9)",8.716780,47.345845
8.714674693102657,47.348018085717712,3db7f354bacf470c96c2019493eac469,https://mobile.cmistar.ch/webclients/stadtarchivuster/#/content/3db7f354bacf470c96c2019493eac469/image,1885_1892_01_006.jpg,1885_1892_01_006,"Gujer, Julius",1890,"696418,244913",696418,244913,Seestrasse 4,8610 Uster,Blaustichiges Bild von Seestrasse 4. „Untere Farb. 1890“,jpeg,,https://creativecommons.org/publicdomain/zero/1.0/deed.de,"Stadtarchiv Uster, (ISIL: CH-000629-9)",8.714675,47.348018
8.728570097674522,47.346289429080883,f5b93c3bf53948f08655e8ddbceeadea,https://mobile.cmistar.ch/webclients/stadtarchivuster/#/content/f5b93c3bf53948f08655e8ddbceeadea/image,1885_1892_01_007.jpg,1885_1892_01_007,"Gujer, Julius",1885-1892,"697471,244738",697471,244738,Aathalstrasse 19,8610 Uster,grosses Arbeiterwohnhaus. Abgerissen.,jpeg,,https://creativecommons.org/publicdomain/zero/1.0/deed.de,"Stadtarchiv Uster, (ISIL: CH-000629-9)",8.728570,47.346289
8.728782417179973,47.345765314542781,63351da097bc454d8576f1d2adabd5b6,https://mobile.cmistar.ch/webclients/stadtarchivuster/#/content/63351da097bc454d8576f1d2adabd5b6/image,1885_1892_01_008.jpg,1885_1892_01_008,"Gujer, Julius",1885-1892,"697488,244680",697488,244680,"Aathalstrasse 19, 34 und 32",8610 Uster,"Aatalstrasse Oberuster. Von links nach rechts: Aatalstrasse 19, Fabrik Huber, Villa Huber, Ölmühle.",jpeg,,https://creativecommons.org/publicdomain/zero/1.0/deed.de,"Stadtarchiv Uster, (ISIL: CH-000629-9)",8.728782,47.345765
8.717882419584731,47.345454840607452,9de35c5cc13d4364885c2bf6afc2b61a,https://mobile.cmistar.ch/webclients/stadtarchivuster/#/content/9de35c5cc13d4364885c2bf6afc2b61a/image,1885_1892_01_009.jpg,1885_1892_01_009,"Gujer, Julius",1885-1892,"696665,244632",696665,244632,Burg Uster,8610 Uster,Blick auf Burg. Links davon Ökonomiegebäude des sog. „Bürgli“.,jpeg,,https://creativecommons.org/publicdomain/zero/1.0/deed.de,"Stadtarchiv Uster, (ISIL: CH-000629-9)",8.717882,47.345455
8.729930953807136,47.345644525313674,47e4710aa9244766b271c5019cfe1052,https://mobile.cmistar.ch/webclients/stadtarchivuster/#/content/47e4710aa9244766b271c5019cfe1052/image,1885_1892_01_010.jpg,1885_1892_01_010,"Gujer, Julius",1885-1892,"697575,244668",697575,244668,Aathalstrasse 27,8610 Uster,Aatalstrasse 27. Sog. Haus Berchtold mit Scheune. Heute Schulhaus.,jpeg,,https://creativecommons.org/publicdomain/zero/1.0/deed.de,"Stadtarchiv Uster, (ISIL: CH-000629-9)",8.729931,47.345645
8.717655174431458,47.348120033881997,44659b7ac7814339a92c9cba53685455,https://mobile.cmistar.ch/webclients/stadtarchivuster/#/content/44659b7ac7814339a92c9cba53685455/image,1885_1892_01_011.jpg,1885_1892_01_011,"Gujer, Julius",1885-1892,"696643,244928",696643,244928,Zürichstrasse 1,8610 Uster,"Zürichstrasse 1 (Villa Zangger) von hinten. Links Scheune, ganz rechts Hotel Sternen. Im Vordergrund Wirt- schaftsgarten.",jpeg,,https://creativecommons.org/publicdomain/zero/1.0/deed.de,"Stadtarchiv Uster, (ISIL: CH-000629-9)",8.717655,47.348120
8.718356764450013,47.347572526936176,8a0f8d5735b24a9dbb73b37b6058cba1,https://mobile.cmistar.ch/webclients/stadtarchivuster/#/content/8a0f8d5735b24a9dbb73b37b6058cba1/image,1885_1892_01_012.jpg,1885_1892_01_012,"Gujer, Julius",1885-1892,"696697,244868",696697,244868,Zentralstrasse 5,8610 Uster,"Hinter dem Baum links Zentralstrasse 5 (Kantonalbank), rechts dahinter obere Farb.",jpeg,,https://creativecommons.org/publicdomain/zero/1.0/deed.de,"Stadtarchiv Uster, (ISIL: CH-000629-9)",8.718357,47.347573
8.717882419584731,47.345454840607452,/8e5793431ae9486381366fc081718e03,https://mobile.cmistar.ch/webclients/stadtarchivuster/#/content/8e5793431ae9486381366fc081718e03/image,1885_1892_01_014.jpg,1885_1892_01_014,"Gujer, Julius",1885-1892,"696665,244632",696665,244632,Burg Uster,8610 Uster,Blick auf Burg und Ökonomiegebäude. Im Vordergrund Obstbäume zwischen Brauereistrasse und Fabrik Zangger an der Florastrasse 18a.,jpeg,,https://creativecommons.org/publicdomain/zero/1.0/deed.de,"Stadtarchiv Uster, (ISIL: CH-000629-9)",8.717882,47.345455
